DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800015;Ábelová;511226;Ábelová;606;Luèenec;6;Banskobystrický;26313009;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Luèenec;SK0326;Ábelová;SK0326511226
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800040;Abovce;557757;Abovce;609;Rimavská Sobota;6;Banskobystrický;8199569;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Abovce;SK0329557757
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800058;Abrahám;503673;Abrahám;202;Galanta;2;Trnavský;15779514;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212;Abrahám;SK0212503673
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800066;Abrahámovce;519014;Abrahámovce;701;Bardejov;7;Prešovský;5899305;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Abrahámovce;SK0411519014
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800074;Abrahámovce;523399;Abrahámovce;703;Kežmarok;7;Prešovský;6653165;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Kežmarok;SK0413;Abrahámovce;SK0413523399
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800091;Abramová;512044;Abramová;509;Turèianske Teplice;5;Žilinský;7203569;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turèianske Teplice;SK0319;Abramová;SK0319512044
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800112;Abranovce;524158;Abranovce;707;Prešov;7;Prešovský;9583406;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Abranovce;SK0417524158
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800121;Adamovské Kochanovce;505838;Adamovské Kochanovce;309;Trenèín;3;Trenèiansky;9662581;Slovensko;SK0;Západné Slovensko;SK02;Trenèiansky kraj;SK022;Trenèín;SK0229;Adamovské Kochanovce;SK0229505838
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800155;Adidovce;520012;Adidovce;702;Humenné;7;Prešovský;20765157;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Adidovce;SK0412520012
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800163;Alekšince;500020;Alekšince;403;Nitra;4;Nitriansky;15072464;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Alekšince;SK0233500020
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800180;Andaè;500950;Zbehy;403;Nitra;4;Nitriansky;2940669;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Zbehy;SK0233500950
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800198;Andovce;503029;Andovce;404;Nové Zámky;4;Nitriansky;10778309;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Andovce;SK0234503029
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800201;Andrejová;519022;Andrejová;701;Bardejov;7;Prešovský;11662554;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Andrejová;SK0411519022
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800210;Svätý Anton;516597;Svätý Anton;602;Banská Štiavnica;6;Banskobystrický;22628412;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Svätý Anton;SK0322516597
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800236;Ardanovce;556220;Ardanovce;406;Topo¾èany;4;Nitriansky;6725756;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topo¾èany;SK0236;Ardanovce;SK0236556220
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800252;Ardovo;525537;Ardovo;808;Rožòava;8;Košický;11207585;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožòava;SK0428;Ardovo;SK0428525537
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800261;Arnutovce;526363;Arnutovce;810;Spišská Nová Ves;8;Košický;2228054;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Arnutovce;SK042A526363
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800287;Malý Báb;500046;Báb;403;Nitra;4;Nitriansky;9584982;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Báb;SK0233500046
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800295;Ve¾ký Báb;500046;Báb;403;Nitra;4;Nitriansky;10506051;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Báb;SK0233500046
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800309;Babie;544060;Babie;713;Vranov nad Top¾ou;7;Prešovský;7998378;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Top¾ou;SK041D;Babie;SK041D544060
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800317;Babín;509558;Babín;507;Námestovo;5;Žilinský;17393651;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Babín;SK0317509558
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800325;Babin Potok;525294;Teròa;707;Prešov;7;Prešovský;4951269;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Teròa;SK0417525294
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800333;Babiná;518166;Babiná;611;Zvolen;6;Banskobystrický;22170021;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Babiná;SK032B518166
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800341;Babindol;581623;Babindol;403;Nitra;4;Nitriansky;5413972;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Babindol;SK0233581623
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800350;Babinec;514489;Babinec;609;Rimavská Sobota;6;Banskobystrický;4913094;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Babinec;SK0329514489
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800376;Babkov;517755;Lietavská Svinná-Babkov;511;Žilina;5;Žilinský;8400193;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Lietavská Svinná-Babkov;SK031B517755
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800384;Bacúch;508446;Bacúch;603;Brezno;6;Banskobystrický;38190647;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Brezno;SK0323;Bacúch;SK0323508446
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800392;Bacúrov;518174;Bacúrov;611;Zvolen;6;Banskobystrický;9602420;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Bacúrov;SK032B518174
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800406;Báè;501441;Báè;201;Dunajská Streda;2;Trnavský;3923116;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Báè;SK0211501441
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800414;Baèka;528102;Baèka;811;Trebišov;8;Košický;9576699;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Baèka;SK042B528102
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800422;Baèkov;528111;Baèkov;811;Trebišov;8;Košický;27675694;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Baèkov;SK042B528111
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800431;Baèkovík;521141;Baèkovík;806;Košice - okolie;8;Košický;4179772;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Baèkovík;SK0426521141
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800457;Báèovce;518425;Hontianske Tesáre;605;Krupina;6;Banskobystrický;3209130;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Krupina;SK0325;Hontianske Tesáre;SK0325518425
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800465;Baïan;516601;Baïan;602;Banská Štiavnica;6;Banskobystrický;8362113;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Baïan;SK0322516601
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800473;Badín;508454;Badín;601;Banská Bystrica;6;Banskobystrický;34389985;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Badín;SK0321508454
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800481;Báhoò;507806;Báhoò;107;Pezinok;1;Bratislavský;10574864;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Pezinok;SK0107;Báhoò;SK0107507806
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800490;Bajany;522287;Bajany;807;Michalovce;8;Košický;5545722;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Bajany;SK0427522287
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800503;Bajè;501034;Bajè;401;Komárno;4;Nitriansky;36475732;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Komárno;SK0231;Bajè;SK0231501034
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800554;Bajerov;524174;Bajerov;707;Prešov;7;Prešovský;6631992;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Bajerov;SK0417524174
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800562;Bajerovce;524182;Bajerovce;708;Sabinov;7;Prešovský;16112612;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418;Bajerovce;SK0418524182
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800571;Bajka;502049;Bajka;402;Levice;4;Nitriansky;5755095;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Bajka;SK0232502049
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800589;Bajtava;503037;Bajtava;404;Nové Zámky;4;Nitriansky;9329969;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bajtava;SK0234503037
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800597;Baka;501450;Baka;201;Dunajská Streda;2;Trnavský;19989125;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Baka;SK0211501450
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800601;Bakta;514462;Rimavská Sobota;609;Rimavská Sobota;6;Banskobystrický;7299469;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Rimavská Sobota;SK0329514462
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800619;Baláže;508471;Baláže;601;Banská Bystrica;6;Banskobystrický;14216159;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Baláže;SK0321508471
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800627;Baldovce;526371;Baldovce;704;Levoèa;7;Prešovský;2204013;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414;Baldovce;SK0414526371
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800635;Balog nad Ip¾om;515868;Balog nad Ip¾om;610;Ve¾ký Krtíš;6;Banskobystrický;8350666;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Ve¾ký Krtíš;SK032A;Balog nad Ip¾om;SK032A515868
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800643;Baloò;501468;Baloò;201;Dunajská Streda;2;Trnavský;16073223;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Baloò;SK0211501468
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800651;Baòa;527114;Baòa;711;Stropkov;7;Prešovský;1912484;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Baòa;SK041B527114
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800678;Banka;581399;Banka;204;Piešany;2;Trnavský;8582677;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešany;SK0214;Banka;SK0214581399
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800694;Banky;513962;Diviaky nad Nitricou;307;Prievidza;3;Trenèiansky;2941246;Slovensko;SK0;Západné Slovensko;SK02;Trenèiansky kraj;SK022;Prievidza;SK0227;Diviaky nad Nitricou;SK0227513962
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800708;Banky;516643;Banská Štiavnica;602;Banská Štiavnica;6;Banskobystrický;13841957;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Štiavnica;SK0322516643
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800724;Bánov;503045;Bánov;404;Nové Zámky;4;Nitriansky;17885530;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bánov;SK0234503045
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800732;Malá Kesa;503045;Bánov;404;Nové Zámky;4;Nitriansky;1877168;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bánov;SK0234503045
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800759;Bánová;517402;Žilina;511;Žilina;5;Žilinský;7960593;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Žilina;SK031B517402
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;800805;Bánovce nad Bebravou;542652;Bánovce nad Bebravou;301;Bánovce nad Bebravou;3;Trenèiansky;13960092;Slovensko;SK0;Západné Slovensko;SK02;Trenèiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Bánovce nad Bebravou;SK0221542652
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801011;Bánovce nad Ondavou;522295;Bánovce nad Ondavou;807;Michalovce;8;Košický;12235546;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Bánovce nad Ondavou;SK0427522295
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801038;Banská Belá;516627;Banská Belá;602;Banská Štiavnica;6;Banskobystrický;21075772;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Belá;SK0322516627
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801062;Banská Bystrica;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;14850371;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801101;Sásová;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;6736054;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801241;Radvaò;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;33254897;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801283;Podlavice;508438;Banská Bystrica;601;Banská Bystrica;6;Banskobystrický;10383671;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Banská Bystrica;SK0321508438
