DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500011;Nitra;403;Nitra;4;Nitriansky;100478688.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Nitra;SK0233500011
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500020;Alekšince;403;Nitra;4;Nitriansky;15072464.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Alekšince;SK0233500020
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500046;Báb;403;Nitra;4;Nitriansky;20091033.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Báb;SK0233500046
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500062;Beladice;407;Zlaté Moravce;4;Nitriansky;22408290.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Beladice;SK0237500062
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500071;Branè;403;Nitra;4;Nitriansky;13808400.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Branè;SK0233500071
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500101;Èakajovce;403;Nitra;4;Nitriansky;5777118.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Èakajovce;SK0233500101
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500127;Èaradice;407;Zlaté Moravce;4;Nitriansky;17849791.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Èaradice;SK0237500127
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500135;Èe¾adice;403;Nitra;4;Nitriansky;10471061.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Èe¾adice;SK0233500135
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500151;Èierne K¾aèany;407;Zlaté Moravce;4;Nitriansky;10976549.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Èierne K¾aèany;SK0237500151
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500160;Èifáre;403;Nitra;4;Nitriansky;15339459.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Èifáre;SK0233500160
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500194;Dolné Obdokovce;403;Nitra;4;Nitriansky;10186904.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Dolné Obdokovce;SK0233500194
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500232;Golianovo;403;Nitra;4;Nitriansky;10701592.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Golianovo;SK0233500232
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500241;Hájske;405;Ša¾a;4;Nitriansky;14066275.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Ša¾a;SK0235;Hájske;SK0235500241
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500267;Záhorie (vojenský obvod);106;Malacky;1;Bratislavský;277468145.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Malacky;SK0106;Záhorie (vojenský obvod);SK0106500267
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500283;Hostie;407;Zlaté Moravce;4;Nitriansky;28169762.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Hostie;SK0237500283
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500305;Hosovce;407;Zlaté Moravce;4;Nitriansky;16239774.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Hosovce;SK0237500305
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500313;Hruboòovo;403;Nitra;4;Nitriansky;11550848.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Hruboòovo;SK0233500313
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500321;Choèa;407;Zlaté Moravce;4;Nitriansky;4389734.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237;Choèa;SK0237500321
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;500348;Zubák;308;Púchov;3;Trenèiansky;25666310.0;Slovensko;SK0;Západné Slovensko;SK02;Trenèiansky kraj;SK022;Púchov;SK0228;Zubák;SK0228500348
