DOW;AUT;ACH;SOI;FACC;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;101;Bratislava I;1;Bratislavský;9590124.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava I;SK0101
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;102;Bratislava II;1;Bratislavský;92490067.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava II;SK0102
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;103;Bratislava III;1;Bratislavský;74674875.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava III;SK0103
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;104;Bratislava IV;1;Bratislavský;96665027.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava IV;SK0104
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;105;Bratislava V;1;Bratislavský;94207079.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Bratislava V;SK0105
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;106;Malacky;1;Bratislavský;949565942.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Malacky;SK0106
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;107;Pezinok;1;Bratislavský;375538031.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Pezinok;SK0107
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;108;Senec;1;Bratislavský;359887657.0;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Senec;SK0108
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;201;Dunajská Streda;2;Trnavský;1074589421.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;202;Galanta;2;Trnavský;641711914.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;203;Hlohovec;2;Trnavský;267226730.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Hlohovec;SK0213
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;204;Piešany;2;Trnavský;381115603.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešany;SK0214
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;205;Senica;2;Trnavský;683256902.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Senica;SK0215
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;206;Skalica;2;Trnavský;357081962.0;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Skalica;SK0216
